meeting_key,year,meeting_name,official_name,circuit_key,date_start,gmt_offset,is_testing,round
1253,2025,Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2025,63,2025-02-26 09:00:00+02,03:00:00,t,
1254,2025,Australian Grand Prix,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,10,2025-03-14 03:30:00+02,11:00:00,f,1
1255,2025,Chinese Grand Prix,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,49,2025-03-21 05:30:00+02,08:00:00,f,2
1256,2025,Japanese Grand Prix,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,46,2025-04-04 05:30:00+03,09:00:00,f,3
1257,2025,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,63,2025-04-11 14:30:00+03,03:00:00,f,4
1258,2025,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025,149,2025-04-18 16:30:00+03,03:00:00,f,5
1259,2025,Miami Grand Prix,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2025,151,2025-05-02 19:30:00+03,-04:00:00,f,6
1260,2025,Emilia Romagna Grand Prix,FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,6,2025-05-16 14:30:00+03,02:00:00,f,7
1261,2025,Monaco Grand Prix,FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,22,2025-05-23 14:30:00+03,02:00:00,f,8
1262,2025,Spanish Grand Prix,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,15,2025-05-30 14:30:00+03,02:00:00,f,9
1263,2025,Canadian Grand Prix,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2025,23,2025-06-13 20:30:00+03,-04:00:00,f,10
1264,2025,Austrian Grand Prix,FORMULA 1 MSC CRUISES AUSTRIAN GRAND PRIX 2025,19,2025-06-27 14:30:00+03,02:00:00,f,11
1277,2025,British Grand Prix,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2025,2,2025-07-04 14:30:00+03,01:00:00,f,12
1265,2025,Belgian Grand Prix,FORMULA 1 MOËT & CHANDON BELGIAN GRAND PRIX 2025,7,2025-07-25 13:30:00+03,02:00:00,f,13
1266,2025,Hungarian Grand Prix,FORMULA 1 LENOVO HUNGARIAN GRAND PRIX 2025,4,2025-08-01 14:30:00+03,02:00:00,f,14
1267,2025,Dutch Grand Prix,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2025,55,2025-08-29 13:30:00+03,02:00:00,f,15
1268,2025,Italian Grand Prix,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2025,39,2025-09-05 14:30:00+03,02:00:00,f,16
1269,2025,Azerbaijan Grand Prix,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2025,144,2025-09-19 11:30:00+03,04:00:00,f,17
1270,2025,Singapore Grand Prix,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2025,61,2025-10-03 12:30:00+03,08:00:00,f,18
1271,2025,United States Grand Prix,FORMULA 1 MSC CRUISES UNITED STATES GRAND PRIX 2025,9,2025-10-17 20:30:00+03,-05:00:00,f,19
1272,2025,Mexico City Grand Prix,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2025,65,2025-10-24 21:30:00+03,-06:00:00,f,20
