session_key,ts,category,flag,scope,sector,lap_number,driver_id,message
9683,2025-02-26 09:00:00+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
9683,2025-02-26 09:00:00.118+02,SessionStatus,,,,,,SESSION STARTED
9683,2025-02-26 09:37:57+02,Flag,YELLOW,Sector,5,,,YELLOW IN TRACK SECTOR 5
9683,2025-02-26 09:38:01+02,Flag,CLEAR,Sector,5,,,CLEAR IN TRACK SECTOR 5
9683,2025-02-26 11:40:23+02,Flag,DOUBLE YELLOW,Sector,4,,,DOUBLE YELLOW IN TRACK SECTOR 4
9683,2025-02-26 11:40:24+02,Other,,,,,,DRS DISABLED IN ZONE 1
9683,2025-02-26 11:40:30+02,Other,,,,,,DRS ENABLED IN ZONE 1
9683,2025-02-26 11:40:30+02,Flag,CLEAR,Sector,4,,,CLEAR IN TRACK SECTOR 4
9683,2025-02-26 13:00:00.123+02,SessionStatus,,,,,,SESSION FINISHED
9683,2025-02-26 13:00:24+02,Flag,CHEQUERED,Track,,,,CHEQUERED FLAG
9683,2025-02-26 13:00:24+02,Other,,,,,,AIR TEMPERATURE 1 HOUR BEFORE PM SESSION = 15.3 DEGREES
9683,2025-02-26 13:01:08+02,Other,,,,,,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU)
9683,2025-02-26 13:45:03+02,Other,,,,,,RISK OF RAIN FOR PM SESSION IS 10%
9683,2025-02-26 14:00:00+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
9683,2025-02-26 14:00:00.119+02,SessionStatus,,,,,,SESSION STARTED
9683,2025-02-26 16:03:47.723+02,SessionStatus,,,,,,SESSION ABORTED
9683,2025-02-26 16:03:48+02,Flag,RED,Track,,,,RED FLAG
9683,2025-02-26 16:09:32+02,Flag,CLEAR,Track,,,,TRACK CLEAR
9683,2025-02-26 16:38:01+02,Flag,YELLOW,Sector,4,,,YELLOW IN TRACK SECTOR 4
9683,2025-02-26 16:38:02+02,Other,,,,,,DRS DISABLED IN ZONE 1
9683,2025-02-26 16:38:05+02,Other,,,,,,DRS ENABLED IN ZONE 1
9683,2025-02-26 16:38:05+02,Flag,CLEAR,Sector,4,,,CLEAR IN TRACK SECTOR 4
9683,2025-02-26 16:38:10+02,Flag,YELLOW,Sector,2,,,YELLOW IN TRACK SECTOR 2
9683,2025-02-26 16:38:11+02,Other,,,,,,DRS DISABLED IN ZONE 3
9683,2025-02-26 16:38:14+02,Other,,,,,,DRS ENABLED IN ZONE 3
9683,2025-02-26 16:38:14+02,Flag,CLEAR,Sector,2,,,CLEAR IN TRACK SECTOR 2
9683,2025-02-26 16:38:15+02,Flag,DOUBLE YELLOW,Sector,2,,,DOUBLE YELLOW IN TRACK SECTOR 2
9683,2025-02-26 16:38:16+02,Other,,,,,,DRS DISABLED IN ZONE 3
9683,2025-02-26 16:38:18+02,Other,,,,,,DRS ENABLED IN ZONE 3
9683,2025-02-26 16:38:18+02,Flag,CLEAR,Sector,2,,,CLEAR IN TRACK SECTOR 2
9683,2025-02-26 16:56:49+02,Flag,YELLOW,Sector,4,,,YELLOW IN TRACK SECTOR 4
9683,2025-02-26 16:56:50+02,Other,,,,,,DRS DISABLED IN ZONE 1
9683,2025-02-26 16:56:51+02,Flag,YELLOW,Sector,2,,,YELLOW IN TRACK SECTOR 2
9683,2025-02-26 16:56:51+02,Flag,YELLOW,Sector,11,,,YELLOW IN TRACK SECTOR 11
9683,2025-02-26 16:56:52+02,Other,,,,,,DRS DISABLED IN ZONE 2
9683,2025-02-26 16:56:52+02,Flag,YELLOW,Sector,5,,,YELLOW IN TRACK SECTOR 5
9683,2025-02-26 16:56:55+02,Flag,YELLOW,Sector,17,,,YELLOW IN TRACK SECTOR 17
9683,2025-02-26 16:56:56+02,Flag,CLEAR,Sector,5,,,CLEAR IN TRACK SECTOR 5
9683,2025-02-26 16:57:03+02,Flag,CLEAR,Sector,4,,,CLEAR IN TRACK SECTOR 4
9683,2025-02-26 16:57:03+02,Other,,,,,,DRS ENABLED IN ZONE 1
9683,2025-02-26 16:57:07+02,Flag,CLEAR,Sector,11,,,CLEAR IN TRACK SECTOR 11
9683,2025-02-26 16:57:07+02,Other,,,,,,DRS ENABLED IN ZONE 2
9683,2025-02-26 16:57:07+02,Flag,CLEAR,Sector,17,,,CLEAR IN TRACK SECTOR 17
9683,2025-02-26 16:57:25+02,Flag,YELLOW,Sector,4,,,YELLOW IN TRACK SECTOR 4
9683,2025-02-26 16:57:26+02,Other,,,,,,DRS DISABLED IN ZONE 1
9683,2025-02-26 16:58:21+02,Flag,YELLOW,Sector,5,,,YELLOW IN TRACK SECTOR 5
9683,2025-02-26 16:58:48+02,Flag,CLEAR,Sector,5,,,CLEAR IN TRACK SECTOR 5
9683,2025-02-26 16:59:49+02,Flag,YELLOW,Sector,11,,,YELLOW IN TRACK SECTOR 11
9683,2025-02-26 16:59:50+02,Other,,,,,,DRS DISABLED IN ZONE 2
9683,2025-02-26 17:00:41+02,Flag,CLEAR,Sector,4,,,CLEAR IN TRACK SECTOR 4
9683,2025-02-26 17:00:41+02,Other,,,,,,DRS ENABLED IN ZONE 1
9683,2025-02-26 17:02:12+02,Flag,CLEAR,Sector,2,,,CLEAR IN TRACK SECTOR 2
9683,2025-02-26 17:02:12+02,Other,,,,,,DRS ENABLED IN ZONE 3
9683,2025-02-26 17:02:15+02,Flag,YELLOW,Sector,17,,,YELLOW IN TRACK SECTOR 17
9683,2025-02-26 17:02:47+02,Flag,CLEAR,Sector,17,,,CLEAR IN TRACK SECTOR 17
9683,2025-02-26 17:05:17+02,Other,,,,,,DRS ENABLED IN ZONE 2
9683,2025-02-26 17:05:17+02,Flag,CLEAR,Sector,11,,,CLEAR IN TRACK SECTOR 11
9683,2025-02-26 17:08:19+02,Other,,,,,,SESSION WILL RESUME AT 18:10
9683,2025-02-26 17:10:00+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
9683,2025-02-26 17:10:00.106+02,SessionStatus,,,,,,SESSION STARTED
9683,2025-02-26 17:32:04+02,Other,,,,,,SESSION WILL END AT 20:00
9683,2025-02-26 19:00:00.132+02,SessionStatus,,,,,,SESSION FINISHED
9683,2025-02-26 19:00:01+02,Flag,CHEQUERED,Track,,,,CHEQUERED FLAG
9683,2025-02-26 19:00:07+02,Other,,,,,,FIRST CAR TO TAKE THE FLAG - CAR 5 (BOR)
9684,2025-02-27 08:45:31+02,Other,,,,,,RISK OF RAIN FOR THIS AM SESSION IS 90%
9684,2025-02-27 08:55:47+02,Other,,,,,,LIGHT BLUE HEAD PADDING MATERIAL MUST BE USED
