session_key,driver_id,driver_number,position,points,number_of_laps,dnf,dns,dsq,duration_s,gap_to_leader_s,laps_down,q1_s,q2_s,q3_s,gap_raw
9683,2,4,1,0.00,52,f,f,f,90.430,0.000,,,,,0
9683,18,63,2,0.00,70,f,f,f,90.587,0.157,,,,,0.157
9683,1,1,3,0.00,74,f,f,f,90.674,0.244,,,,,0.244
9683,9,16,4,0.00,71,f,f,f,90.878,0.448,,,,,0.448
9683,17,55,5,0.00,68,f,f,f,90.955,0.525,,,,,0.525
9683,6,10,6,0.00,72,f,f,f,91.353,0.923,,,,,0.923
9683,7,12,7,0.00,78,f,f,f,91.428,0.998,,,,,0.998
9683,14,30,8,0.00,58,f,f,f,91.560,1.130,,,,,1.13
9683,12,23,9,0.00,63,f,f,f,91.573,1.143,,,,,1.143
9683,11,22,10,0.00,78,f,f,f,91.610,1.180,,,,,1.18
9683,4,6,11,0.00,76,f,f,f,91.631,1.201,,,,,1.201
9683,3,5,12,0.00,59,f,f,f,91.690,1.260,,,,,1.26
9683,16,44,13,0.00,70,f,f,f,91.834,1.404,,,,,1.404
9683,5,7,14,0.00,68,f,f,f,91.841,1.411,,,,,1.411
9683,8,14,15,0.00,46,f,f,f,91.874,1.444,,,,,1.444
9683,10,18,16,0.00,42,f,f,f,91.949,1.519,,,,,1.519
9683,19,81,17,0.00,66,f,f,f,92.084,1.654,,,,,1.654
9683,13,27,18,0.00,55,f,f,f,92.169,1.739,,,,,1.739
9683,15,31,19,0.00,88,f,f,f,93.600,3.170,,,,,3.17
9683,20,87,20,0.00,72,f,f,f,95.522,5.092,,,,,5.092
9684,17,55,1,0.00,127,f,f,f,89.348,0.000,,,,,0
9684,16,44,2,0.00,45,f,f,f,89.379,0.031,,,,,0.031
9684,9,16,3,0.00,83,f,f,f,89.431,0.083,,,,,0.083
9684,18,63,4,0.00,71,f,f,f,89.778,0.430,,,,,0.43
9684,7,12,5,0.00,87,f,f,f,89.784,0.436,,,,,0.436
9684,10,18,6,0.00,57,f,f,f,90.229,0.881,,,,,0.881
9684,14,30,7,0.00,91,f,f,f,90.252,0.904,,,,,0.904
9684,5,7,8,0.00,80,f,f,f,90.368,1.020,,,,,1.02
9684,6,10,9,0.00,40,f,f,f,90.430,1.082,,,,,1.082
9684,4,6,10,0.00,94,f,f,f,90.675,1.327,,,,,1.327
9684,8,14,11,0.00,45,f,f,f,90.700,1.352,,,,,1.352
9684,11,22,12,0.00,46,f,f,f,90.793,1.445,,,,,1.445
9684,19,81,13,0.00,44,f,f,f,90.821,1.473,,,,,1.473
9684,2,4,14,0.00,77,f,f,f,90.882,1.534,,,,,1.534
9684,3,5,15,0.00,80,f,f,f,91.057,1.709,,,,,1.709
9684,13,27,16,0.00,56,f,f,f,91.457,2.109,,,,,2.109
9684,15,31,17,0.00,69,f,f,f,93.071,3.723,,,,,3.723
9684,20,87,18,0.00,66,f,f,f,94.372,5.024,,,,,5.024
9685,18,63,1,0.00,91,f,f,f,89.545,0.000,,,,,0
9685,1,1,2,0.00,81,f,f,f,89.566,0.021,,,,,0.021
9685,12,23,3,0.00,137,f,f,f,89.650,0.105,,,,,0.105
9685,19,81,4,0.00,85,f,f,f,89.940,0.395,,,,,0.395
9685,6,10,5,0.00,84,f,f,f,90.040,0.495,,,,,0.495
9685,16,44,6,0.00,47,f,f,f,90.345,0.800,,,,,0.8
9685,11,22,7,0.00,87,f,f,f,90.497,0.952,,,,,0.952
9685,15,31,8,0.00,103,f,f,f,90.728,1.183,,,,,1.183
9685,9,16,9,0.00,66,f,f,f,90.811,1.266,,,,,1.266
9685,7,12,10,0.00,61,f,f,f,90.888,1.343,,,,,1.343
9685,2,4,11,0.00,57,f,f,f,90.943,1.398,,,,,1.398
9685,5,7,12,0.00,61,f,f,f,91.239,1.694,,,,,1.694
9685,10,18,13,0.00,34,f,f,f,91.699,2.154,,,,,2.154
9685,13,27,14,0.00,69,f,f,f,91.726,2.181,,,,,2.181
9685,4,6,15,0.00,73,f,f,f,91.761,2.216,,,,,2.216
9685,8,14,16,0.00,82,f,f,f,92.084,2.539,,,,,2.539
9685,3,5,17,0.00,35,f,f,f,92.147,2.602,,,,,2.602
9685,20,87,18,0.00,59,f,f,f,92.361,2.816,,,,,2.816
9686,2,4,1,0.00,21,f,f,f,77.252,0.000,,,,,0
9686,17,55,2,0.00,25,f,f,f,77.401,0.149,,,,,0.149
9686,9,16,3,0.00,21,f,f,f,77.461,0.209,,,,,0.209
9686,19,81,4,0.00,20,f,f,f,77.670,0.418,,,,,0.418
9686,1,1,5,0.00,21,f,f,f,77.696,0.444,,,,,0.444
9686,12,23,6,0.00,18,f,f,f,77.713,0.461,,,,,0.461
9686,18,63,7,0.00,26,f,f,f,77.716,0.464,,,,,0.464
9686,8,14,8,0.00,23,f,f,f,77.736,0.484,,,,,0.484
9686,4,6,9,0.00,25,f,f,f,77.847,0.595,,,,,0.595
9686,10,18,10,0.00,20,f,f,f,78.057,0.805,,,,,0.805
9686,11,22,11,0.00,23,f,f,f,78.061,0.809,,,,,0.809
9686,16,44,12,0.00,20,f,f,f,78.071,0.819,,,,,0.819
9686,5,7,13,0.00,20,f,f,f,78.232,0.980,,,,,0.98
9686,7,12,14,0.00,25,f,f,f,78.390,1.138,,,,,1.138
9686,3,5,15,0.00,22,f,f,f,78.438,1.186,,,,,1.186
9686,14,30,16,0.00,22,f,f,f,78.455,1.203,,,,,1.203
9686,6,10,17,0.00,23,f,f,f,78.505,1.253,,,,,1.253
9686,13,27,18,0.00,18,f,f,f,78.586,1.334,,,,,1.334
9686,15,31,19,0.00,16,f,f,f,79.139,1.887,,,,,1.887
9686,20,87,20,0.00,12,f,f,f,79.312,2.060,,,,,2.06
9687,9,16,1,0.00,32,f,f,f,76.439,0.000,,,,,0
9687,19,81,2,0.00,30,f,f,f,76.563,0.124,,,,,0.124
9687,2,4,3,0.00,30,f,f,f,76.580,0.141,,,,,0.141
9687,11,22,4,0.00,29,f,f,f,76.784,0.345,,,,,0.345
9687,16,44,5,0.00,31,f,f,f,76.859,0.420,,,,,0.42
9687,4,6,6,0.00,30,f,f,f,77.019,0.580,,,,,0.58
9687,1,1,7,0.00,22,f,f,f,77.063,0.624,,,,,0.624
9687,13,27,8,0.00,24,f,f,f,77.161,0.722,,,,,0.722
9687,10,18,9,0.00,28,f,f,f,77.279,0.840,,,,,0.84
9687,18,63,10,0.00,30,f,f,f,77.282,0.843,,,,,0.843
9687,17,55,11,0.00,30,f,f,f,77.302,0.863,,,,,0.863
