session_key,driver_id,stint_number,lap_start,lap_end,compound,tyre_age_at_start
9683,1,1,1,5,HARD,13
9683,1,2,5,10,HARD,0
9683,1,3,10,19,HARD,0
9683,1,4,19,22,HARD,0
9683,1,5,22,32,HARD,0
9683,1,6,32,37,HARD,0
9683,1,7,37,46,HARD,5
9683,1,8,46,49,MEDIUM,0
9683,1,9,49,61,MEDIUM,0
9683,1,10,61,63,MEDIUM,0
9683,1,11,63,74,MEDIUM,0
9683,2,1,1,3,MEDIUM,17
9683,2,2,3,5,MEDIUM,19
9683,2,3,5,7,MEDIUM,21
9683,2,4,7,13,MEDIUM,0
9683,2,5,13,19,MEDIUM,0
9683,2,6,19,22,MEDIUM,0
9683,2,7,22,34,MEDIUM,3
9683,2,8,34,35,MEDIUM,16
9683,2,9,35,51,HARD,0
9683,2,10,51,52,MEDIUM,17
9683,2,11,52,52,HARD,16
9683,3,1,1,3,MEDIUM,16
9683,3,2,3,5,MEDIUM,13
9683,3,3,5,7,MEDIUM,0
9683,3,4,7,9,MEDIUM,15
9683,3,5,9,11,MEDIUM,20
9683,3,6,11,13,MEDIUM,0
9683,3,7,13,15,MEDIUM,13
9683,3,8,15,17,MEDIUM,19
9683,3,9,17,18,MEDIUM,13
9683,3,10,18,31,UNKNOWN,0
9683,3,11,31,44,HARD,0
9683,3,12,44,49,HARD,0
9683,3,13,49,51,HARD,0
9683,3,14,51,54,HARD,5
9683,3,15,54,59,MEDIUM,0
9683,4,1,1,5,MEDIUM,0
9683,4,2,5,9,MEDIUM,13
9683,4,3,9,13,MEDIUM,13
9683,4,4,13,18,MEDIUM,0
9683,4,5,18,28,MEDIUM,5
9683,4,6,28,34,MEDIUM,0
9683,4,7,34,35,MEDIUM,0
9683,4,8,35,41,MEDIUM,0
9683,4,9,41,48,MEDIUM,0
9683,4,10,48,54,MEDIUM,0
9683,4,11,54,61,MEDIUM,0
9683,4,12,61,69,MEDIUM,7
9683,4,13,69,70,MEDIUM,0
9683,4,14,70,71,MEDIUM,0
9683,4,15,71,72,MEDIUM,0
9683,4,16,72,73,MEDIUM,0
9683,4,17,73,74,MEDIUM,0
9683,4,18,74,76,MEDIUM,16
9683,5,1,1,2,HARD,0
9683,5,2,2,3,HARD,0
9683,5,3,3,9,HARD,2
9683,5,4,9,15,HARD,8
9683,5,5,15,25,HARD,0
9683,5,6,25,31,MEDIUM,0
9683,5,7,31,34,MEDIUM,0
9683,5,8,34,37,MEDIUM,3
9683,5,9,37,40,MEDIUM,0
9683,5,10,40,43,MEDIUM,3
9683,5,11,43,45,MEDIUM,6
9683,5,12,45,53,MEDIUM,0
9683,5,13,53,61,MEDIUM,6
9683,5,14,61,68,MEDIUM,6
9683,6,1,1,6,MEDIUM,14
9683,6,2,6,12,MEDIUM,0
