track,meeting_name,corner,start_m,end_m,apex_m,start_frac,end_frac,direction,angle_deg,radius_m,apex_speed
Спа,Belgian Grand Prix,1,300.0,405.0,355.0,0.04332129963898917,0.05848375451263538,правий,149,22,80
Спа,Belgian Grand Prix,2,1065.0,1180.0,1100.0,0.15379061371841155,0.1703971119133574,правий,47,100,301
Спа,Belgian Grand Prix,3,2325.0,2410.0,2370.0,0.33574007220216606,0.348014440433213,правий,57,59,156
Спа,Belgian Grand Prix,4,2425.0,2515.0,2455.0,0.35018050541516244,0.3631768953068592,лівий,61,58,161
Спа,Belgian Grand Prix,5,2545.0,2675.0,2585.0,0.3675090252707581,0.3862815884476534,правий,73,78,194
Спа,Belgian Grand Prix,6,2925.0,3125.0,2975.0,0.4223826714801444,0.45126353790613716,правий,179,45,125
Спа,Belgian Grand Prix,7,3175.0,3305.0,3235.0,0.4584837545126354,0.4772563176895307,лівий,78,65,195
Спа,Belgian Grand Prix,8,3710.0,3855.0,3805.0,0.535740072202166,0.5566787003610109,лівий,69,105,269
Спа,Belgian Grand Prix,9,3900.0,4055.0,3935.0,0.5631768953068592,0.5855595667870036,лівий,54,118,266
Спа,Belgian Grand Prix,10,4375.0,4525.0,4470.0,0.631768953068592,0.6534296028880866,правий,93,66,179
Спа,Belgian Grand Prix,11,4540.0,4680.0,4575.0,0.6555956678700361,0.675812274368231,лівий,81,71,191
Спа,Belgian Grand Prix,12,4830.0,4955.0,4885.0,0.6974729241877257,0.7155234657039711,правий,86,55,177
Спа,Belgian Grand Prix,13,5035.0,5175.0,5115.0,0.7270758122743682,0.7472924187725631,правий,57,102,240
Спа,Belgian Grand Prix,14,6630.0,6695.0,6670.0,0.9574007220216606,0.9667870036101083,правий,83,28,82
Спа,Belgian Grand Prix,15,6700.0,6775.0,6725.0,0.9675090252707581,0.9783393501805054,лівий,113,22,75
Хунгароринг,Hungarian Grand Prix,1,550.0,680.0,615.0,0.12761020881670534,0.15777262180974477,правий,143,28,93
Хунгароринг,Hungarian Grand Prix,2,1035.0,1205.0,1110.0,0.24013921113689096,0.27958236658932717,лівий,152,41,122
Хунгароринг,Hungarian Grand Prix,3,1245.0,1360.0,1325.0,0.2888631090487239,0.31554524361948955,правий,53,100,202
Хунгароринг,Hungarian Grand Prix,4,1745.0,1845.0,1785.0,0.4048723897911833,0.4280742459396752,лівий,50,92,235
Хунгароринг,Hungarian Grand Prix,5,1925.0,2135.0,2025.0,0.4466357308584687,0.4953596287703016,правий,142,56,151
Хунгароринг,Hungarian Grand Prix,6,2300.0,2365.0,2340.0,0.5336426914153132,0.548723897911833,правий,61,41,112
Хунгароринг,Hungarian Grand Prix,7,2375.0,2435.0,2395.0,0.5510440835266821,0.5649651972157773,лівий,36,67,124
Хунгароринг,Hungarian Grand Prix,8,2500.0,2600.0,2565.0,0.580046403712297,0.6032482598607889,лівий,69,61,168
Хунгароринг,Hungarian Grand Prix,9,2620.0,2760.0,2695.0,0.6078886310904872,0.6403712296983759,правий,98,65,154
Хунгароринг,Hungarian Grand Prix,10,2815.0,2950.0,2920.0,0.6531322505800464,0.6844547563805105,лівий,47,132,228
Хунгароринг,Hungarian Grand Prix,11,2985.0,3135.0,3085.0,0.6925754060324826,0.7273781902552204,правий,76,89,221
Хунгароринг,Hungarian Grand Prix,12,3430.0,3530.0,3480.0,0.7958236658932715,0.8190255220417634,правий,98,36,115
Хунгароринг,Hungarian Grand Prix,13,3650.0,3825.0,3745.0,0.8468677494199536,0.8874709976798144,лівий,185,36,98
Хунгароринг,Hungarian Grand Prix,14,3910.0,4145.0,4015.0,0.9071925754060325,0.9617169373549884,правий,176,57,133
Монако,Monaco Grand Prix,1,135.0,210.0,170.0,0.04160246533127889,0.06471494607087827,правий,71,38,113
Монако,Monaco Grand Prix,2,620.0,800.0,705.0,0.19106317411402157,0.2465331278890601,лівий,118,65,157
Монако,Monaco Grand Prix,3,815.0,905.0,850.0,0.25115562403698,0.27889060092449924,правий,77,42,140
Монако,Monaco Grand Prix,4,1035.0,1115.0,1075.0,0.3189522342064715,0.3436055469953775,правий,133,21,76
Монако,Monaco Grand Prix,5,1135.0,1235.0,1195.0,0.349768875192604,0.38058551617873654,лівий,259,10,46
Монако,Monaco Grand Prix,6,1240.0,1405.0,1265.0,0.38212634822804314,0.43297380585516176,правий,235,23,82
Монако,Monaco Grand Prix,7,1625.0,1715.0,1690.0,0.5007704160246533,0.5285053929121726,правий,33,132,260
Монако,Monaco Grand Prix,8,1985.0,2025.0,2005.0,0.6117103235747303,0.6240369799691834,лівий,36,45,92
Монако,Monaco Grand Prix,9,2030.0,2075.0,2045.0,0.6255778120184899,0.6394453004622496,правий,51,33,70
Монако,Monaco Grand Prix,10,2260.0,2385.0,2290.0,0.6964560862865947,0.7349768875192604,лівий,75,57,169
Монако,Monaco Grand Prix,11,2410.0,2465.0,2440.0,0.7426810477657936,0.7596302003081664,лівий,36,64,226
Монако,Monaco Grand Prix,12,2585.0,2625.0,2605.0,0.7966101694915254,0.8089368258859785,правий,30,57,130
Монако,Monaco Grand Prix,13,2635.0,2780.0,2650.0,0.8120184899845917,0.8567026194144838,лівий,84,47,123
Монако,Monaco Grand Prix,14,2790.0,2945.0,2830.0,0.8597842835130971,0.9075500770416025,правий,235,20,61
Сільверстоун,British Grand Prix,1,365.0,465.0,395.0,0.06282271944922548,0.08003442340791739,правий,40,109,297
Сільверстоун,British Grand Prix,2,580.0,690.0,610.0,0.09982788296041308,0.11876075731497418,лівий,37,153,279
Сільверстоун,British Grand Prix,3,820.0,940.0,885.0,0.14113597246127366,0.16179001721170397,правий,121,42,109
Сільверстоун,British Grand Prix,4,955.0,1105.0,1025.0,0.16437177280550774,0.1901893287435456,лівий,159,26,88
Сільверстоун,British Grand Prix,5,1135.0,1295.0,1220.0,0.19535283993115318,0.22289156626506024,лівий,56,145,189
Сільверстоун,British Grand Prix,6,1860.0,2040.0,1970.0,0.32013769363166955,0.35111876075731496,лівий,119,57,167
Сільверстоун,British Grand Prix,7,2060.0,2285.0,2150.0,0.35456110154905335,0.39328743545611017,правий,197,37,114
Сільверстоун,British Grand Prix,8,2960.0,3015.0,2985.0,0.5094664371772806,0.5189328743545611,правий,29,81,295
Сільверстоун,British Grand Prix,9,3055.0,3125.0,3080.0,0.5258175559380379,0.5378657487091222,правий,37,76,283
Сільверстоун,British Grand Prix,10,3640.0,3710.0,3675.0,0.6265060240963856,0.6385542168674698,правий,27,117,273
Сільверстоун,British Grand Prix,11,3785.0,3875.0,3835.0,0.6514629948364888,0.6669535283993115,лівий,39,101,251
Сільверстоун,British Grand Prix,12,3905.0,4065.0,3950.0,0.6721170395869192,0.6996557659208261,правий,89,81,219
Сільверстоун,British Grand Prix,13,4890.0,5110.0,5000.0,0.8416523235800344,0.8795180722891566,правий,108,87,236
Сільверстоун,British Grand Prix,14,5405.0,5490.0,5460.0,0.9302925989672978,0.9449225473321858,лівий,79,41,102
Сільверстоун,British Grand Prix,15,5495.0,5760.0,5525.0,0.9457831325301205,0.9913941480206541,правий,155,41,119
