corner,min_speed,max_speed,mean_speed,mean_throttle,n_points,exit_speed,driver,team,lap_time,track,meeting_name
1,80,160,107.8,20.4,22,120,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
2,301,322,310.2,100.0,24,301,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
3,156,233,183.6,4.9,18,156,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
4,161,180,169.1,62.4,19,180,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
5,194,222,207.6,96.2,27,222,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
6,125,199,154.5,45.9,41,181,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
7,195,219,202.9,66.9,27,219,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
8,269,279,273.9,100.0,30,269,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
9,266,268,266.8,100.0,32,267,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
10,179,237,195.3,29.1,31,185,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
11,191,210,201.3,76.7,29,210,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
12,177,209,188.0,46.2,26,199,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
13,240,273,260.1,100.0,29,273,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
14,82,166,116.6,2.0,14,82,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
15,75,123,90.9,33.6,16,123,ANT,Mercedes,104.361,Спа,Belgian Grand Prix
1,83,160,109.0,15.0,22,122,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
2,288,313,299.9,100.0,24,288,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
3,167,225,186.5,4.2,18,167,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
4,164,179,168.6,40.9,19,179,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
5,193,216,205.4,100.0,27,216,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
6,129,194,155.1,36.9,41,183,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
7,200,220,205.6,65.6,27,220,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
8,262,272,267.2,100.0,30,262,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
9,264,281,274.0,100.0,32,281,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
10,175,247,199.3,15.9,31,182,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
11,188,211,199.8,73.7,29,211,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
12,168,215,184.6,45.0,26,202,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
13,243,275,261.8,100.0,29,275,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
14,79,181,122.0,0.9,14,79,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
15,77,122,91.4,27.7,16,122,VER,Red Bull Racing,104.678,Спа,Belgian Grand Prix
1,83,160,108.4,15.7,22,124,NOR,McLaren,104.801,Спа,Belgian Grand Prix
2,300,318,309.0,100.0,24,300,NOR,McLaren,104.801,Спа,Belgian Grand Prix
3,160,235,184.1,6.6,18,161,NOR,McLaren,104.801,Спа,Belgian Grand Prix
4,164,182,171.1,55.1,19,182,NOR,McLaren,104.801,Спа,Belgian Grand Prix
5,194,221,206.5,100.0,27,221,NOR,McLaren,104.801,Спа,Belgian Grand Prix
6,122,189,151.1,42.4,41,180,NOR,McLaren,104.801,Спа,Belgian Grand Prix
7,198,219,204.7,65.4,27,219,NOR,McLaren,104.801,Спа,Belgian Grand Prix
8,267,279,271.5,100.0,30,267,NOR,McLaren,104.801,Спа,Belgian Grand Prix
9,270,272,271.4,100.0,32,271,NOR,McLaren,104.801,Спа,Belgian Grand Prix
10,183,238,197.8,29.4,31,191,NOR,McLaren,104.801,Спа,Belgian Grand Prix
11,195,209,201.4,70.6,29,209,NOR,McLaren,104.801,Спа,Belgian Grand Prix
