straight,min_speed,max_speed,mean_speed,mean_throttle,n_points,entry_speed,end_speed,round,meeting_name,driver,team,straight_deficit
5,180,301,281.6,90.6,125,249,180,1,Australian Grand Prix,RUS,Mercedes,0
5,174,298,278.1,87.4,125,244,174,1,Australian Grand Prix,ANT,Mercedes,3
5,171,294,274.5,91.4,125,242,171,1,Australian Grand Prix,HAD,Red Bull Racing,7
5,183,287,271.1,72.0,125,245,183,1,Australian Grand Prix,LEC,Ferrari,14
5,174,297,279.0,88.5,125,249,174,1,Australian Grand Prix,PIA,McLaren,4
5,150,289,266.5,85.2,130,241,150,1,Australian Grand Prix,NOR,McLaren,12
5,192,289,272.3,77.4,125,243,192,1,Australian Grand Prix,HAM,Ferrari,12
5,164,290,273.1,94.4,125,243,164,1,Australian Grand Prix,LIN,Racing Bulls,11
5,161,288,269.1,89.2,125,238,161,1,Australian Grand Prix,LAW,Racing Bulls,13
5,173,292,274.2,90.3,125,248,173,1,Australian Grand Prix,BOR,Audi,9
5,174,295,274.9,91.0,125,234,174,1,Australian Grand Prix,HUL,Audi,6
5,176,285,267.3,75.4,125,241,176,1,Australian Grand Prix,BEA,Haas F1 Team,16
5,182,285,269.3,76.4,125,237,182,1,Australian Grand Prix,OCO,Haas F1 Team,16
5,165,296,272.5,84.4,125,229,165,1,Australian Grand Prix,GAS,Alpine,5
5,168,289,268.3,81.9,125,237,168,1,Australian Grand Prix,ALB,Williams,12
5,165,291,271.6,87.4,125,234,165,1,Australian Grand Prix,COL,Alpine,10
5,164,288,266.3,88.1,125,232,164,1,Australian Grand Prix,ALO,Aston Martin,13
5,156,281,259.2,90.8,125,221,156,1,Australian Grand Prix,PER,Cadillac,20
5,149,279,256.5,93.7,125,220,149,1,Australian Grand Prix,BOT,Cadillac,22
3,93,332,301.3,90.2,237,267,93,2,Chinese Grand Prix,ANT,Mercedes,6
3,89,333,303.8,91.5,237,272,89,2,Chinese Grand Prix,RUS,Mercedes,5
3,84,329,298.9,92.1,237,269,84,2,Chinese Grand Prix,HAM,Ferrari,9
3,84,330,299.8,92.1,237,266,84,2,Chinese Grand Prix,LEC,Ferrari,8
3,92,330,301.5,89.3,237,267,92,2,Chinese Grand Prix,PIA,McLaren,8
3,90,328,301.1,91.5,237,267,90,2,Chinese Grand Prix,NOR,McLaren,10
3,87,335,305.5,91.6,237,268,87,2,Chinese Grand Prix,GAS,Alpine,3
3,83,334,303.1,89.7,237,265,83,2,Chinese Grand Prix,VER,Red Bull Racing,4
3,81,334,303.8,91.4,237,265,81,2,Chinese Grand Prix,HAD,Red Bull Racing,4
3,90,331,300.2,92.0,237,266,90,2,Chinese Grand Prix,BEA,Haas F1 Team,7
3,86,332,305.0,95.7,237,267,86,2,Chinese Grand Prix,HUL,Audi,6
3,85,338,306.6,88.4,237,267,85,2,Chinese Grand Prix,COL,Alpine,0
3,82,333,302.1,89.9,237,263,82,2,Chinese Grand Prix,OCO,Haas F1 Team,5
3,107,335,303.9,92.0,237,261,107,2,Chinese Grand Prix,BOR,Audi,3
3,87,335,305.6,89.5,237,265,87,2,Chinese Grand Prix,ALB,Williams,3
3,90,320,293.9,90.1,237,261,90,2,Chinese Grand Prix,ALO,Aston Martin,18
3,87,335,299.9,90.0,237,265,87,2,Chinese Grand Prix,BOT,Cadillac,3
3,87,324,296.5,91.2,237,263,87,2,Chinese Grand Prix,STR,Aston Martin,14
3,217,329,304.5,100.0,171,217,306,3,Japanese Grand Prix,RUS,Mercedes,4
3,210,324,301.0,99.0,171,210,304,3,Japanese Grand Prix,PIA,McLaren,9
3,206,323,300.0,100.0,171,206,303,3,Japanese Grand Prix,NOR,McLaren,10
3,215,319,297.6,99.2,171,215,297,3,Japanese Grand Prix,HAM,Ferrari,14
3,205,330,303.7,100.0,171,205,311,3,Japanese Grand Prix,HAD,Red Bull Racing,3
3,209,328,303.3,100.0,171,209,306,3,Japanese Grand Prix,VER,Red Bull Racing,5
3,232,333,307.6,100.1,171,279,310,3,Japanese Grand Prix,LAW,Racing Bulls,0
3,200,329,301.8,100.0,171,200,309,3,Japanese Grand Prix,PER,Cadillac,4
3,201,328,299.8,100.0,171,201,308,3,Japanese Grand Prix,ALO,Aston Martin,5
4,122,343,299.9,92.8,246,122,152,6,Miami Grand Prix,ANT,Mercedes,0
4,129,339,298.2,94.7,246,129,148,6,Miami Grand Prix,VER,Red Bull Racing,4
4,125,342,298.4,94.1,246,125,159,6,Miami Grand Prix,LEC,Ferrari,1
4,120,336,294.2,93.8,246,120,151,6,Miami Grand Prix,NOR,McLaren,7
4,124,340,298.5,92.9,246,124,158,6,Miami Grand Prix,RUS,Mercedes,3
4,123,338,296.9,95.4,246,123,165,6,Miami Grand Prix,HAM,Ferrari,5
4,131,339,296.2,92.3,246,131,159,6,Miami Grand Prix,PIA,McLaren,4
4,121,343,298.9,92.0,246,121,139,6,Miami Grand Prix,COL,Alpine,0
4,124,337,296.1,94.6,246,124,152,6,Miami Grand Prix,HAD,Red Bull Racing,6
4,119,339,297.7,93.7,246,119,156,6,Miami Grand Prix,GAS,Alpine,4
4,120,342,298.6,92.1,246,120,157,6,Miami Grand Prix,BEA,Haas F1 Team,1
4,113,342,297.1,94.2,246,113,153,6,Miami Grand Prix,HUL,Audi,1
4,120,337,294.2,93.9,246,120,140,6,Miami Grand Prix,LAW,Racing Bulls,6
4,124,341,296.2,91.8,246,124,135,6,Miami Grand Prix,SAI,Williams,2
4,116,339,295.3,91.5,246,116,157,6,Miami Grand Prix,ALB,Williams,4
4,116,339,296.5,93.4,246,116,153,6,Miami Grand Prix,OCO,Haas F1 Team,4
4,118,341,297.3,93.0,246,118,176,6,Miami Grand Prix,LIN,Racing Bulls,2
4,120,325,285.0,93.2,246,120,135,6,Miami Grand Prix,ALO,Aston Martin,18
4,111,327,286.0,93.1,246,111,152,6,Miami Grand Prix,STR,Aston Martin,16
4,115,327,286.0,92.3,246,115,146,6,Miami Grand Prix,BOT,Cadillac,16
4,65,337,273.2,82.1,279,120,88,6,Miami Grand Prix,PER,Cadillac,6
4,116,315,275.3,93.5,246,116,136,6,Miami Grand Prix,BOR,Audi,28
3,205,331,303.2,94.7,204,208,205,7,Canadian Grand Prix,RUS,Mercedes,2
3,204,331,303.6,94.0,204,206,204,7,Canadian Grand Prix,ANT,Mercedes,2
