driver,team,вхід,макс,на тязі до кінця,приріст,"де досягнуто макс, %",track,straight
HAM,Ferrari,304,330,294,26,34,Спа,Kemmel
ANT,Mercedes,306,328,295,22,30,Спа,Kemmel
VER,Red Bull Racing,294,328,282,34,41,Спа,Kemmel
RUS,Mercedes,306,327,300,21,32,Спа,Kemmel
LEC,Ferrari,304,327,285,23,39,Спа,Kemmel
LIN,Racing Bulls,310,327,291,17,28,Спа,Kemmel
HAD,Red Bull Racing,292,327,291,35,40,Спа,Kemmel
BOT,Cadillac,303,325,292,22,29,Спа,Kemmel
ALB,Williams,300,325,309,25,29,Спа,Kemmel
SAI,Williams,303,325,304,22,34,Спа,Kemmel
COL,Alpine,300,325,312,25,30,Спа,Kemmel
GAS,Alpine,300,325,305,25,33,Спа,Kemmel
BOR,Audi,305,325,290,20,30,Спа,Kemmel
PIA,McLaren,306,325,292,19,27,Спа,Kemmel
NOR,McLaren,305,325,285,20,25,Спа,Kemmel
BEA,Haas F1 Team,300,324,295,24,30,Спа,Kemmel
LAW,Racing Bulls,309,322,291,13,27,Спа,Kemmel
HUL,Audi,304,322,288,18,26,Спа,Kemmel
PER,Cadillac,299,322,304,23,32,Спа,Kemmel
OCO,Haas F1 Team,300,321,285,21,30,Спа,Kemmel
ALO,Aston Martin,296,319,284,23,30,Спа,Kemmel
STR,Aston Martin,293,314,277,21,31,Спа,Kemmel
