round,meeting_name,driver,team,corner_deficit,corner_deficit_max,corners_measured,straight_deficit,straight_top_speed
1,Australian Grand Prix,ALB,Williams,10.0,23,12,12.0,289.0
1,Australian Grand Prix,ALO,Aston Martin,13.67,28,12,13.0,288.0
1,Australian Grand Prix,ANT,Mercedes,5.17,15,12,3.0,298.0
1,Australian Grand Prix,BEA,Haas F1 Team,7.42,20,12,16.0,285.0
1,Australian Grand Prix,BOR,Audi,8.67,16,12,9.0,292.0
1,Australian Grand Prix,BOT,Cadillac,20.42,35,12,22.0,279.0
1,Australian Grand Prix,COL,Alpine,12.67,25,12,10.0,291.0
1,Australian Grand Prix,GAS,Alpine,13.5,28,12,5.0,296.0
1,Australian Grand Prix,HAD,Red Bull Racing,7.25,18,12,7.0,294.0
1,Australian Grand Prix,HAM,Ferrari,4.75,11,12,12.0,289.0
1,Australian Grand Prix,HUL,Audi,11.58,24,12,6.0,295.0
1,Australian Grand Prix,LAW,Racing Bulls,10.67,19,12,13.0,288.0
1,Australian Grand Prix,LEC,Ferrari,3.58,13,12,14.0,287.0
1,Australian Grand Prix,LIN,Racing Bulls,10.0,22,12,11.0,290.0
1,Australian Grand Prix,NOR,McLaren,5.42,16,12,12.0,289.0
1,Australian Grand Prix,OCO,Haas F1 Team,9.55,20,11,16.0,285.0
1,Australian Grand Prix,PER,Cadillac,20.08,35,12,20.0,281.0
1,Australian Grand Prix,PIA,McLaren,5.5,11,12,4.0,297.0
1,Australian Grand Prix,RUS,Mercedes,3.08,10,12,0.0,301.0
2,Chinese Grand Prix,ALB,Williams,9.9,19,10,3.0,335.0
2,Chinese Grand Prix,ALO,Aston Martin,7.64,17,11,18.0,320.0
2,Chinese Grand Prix,ANT,Mercedes,5.78,11,9,6.0,332.0
2,Chinese Grand Prix,BEA,Haas F1 Team,3.22,10,9,7.0,331.0
2,Chinese Grand Prix,BOR,Audi,5.22,9,9,3.0,335.0
2,Chinese Grand Prix,BOT,Cadillac,9.0,18,11,3.0,335.0
2,Chinese Grand Prix,COL,Alpine,4.75,10,8,0.0,338.0
2,Chinese Grand Prix,GAS,Alpine,5.5,12,10,3.0,335.0
2,Chinese Grand Prix,HAD,Red Bull Racing,7.27,17,11,4.0,334.0
2,Chinese Grand Prix,HAM,Ferrari,5.36,23,11,9.0,329.0
2,Chinese Grand Prix,HUL,Audi,4.14,8,7,6.0,332.0
2,Chinese Grand Prix,LAW,Racing Bulls,8.55,17,11,,
2,Chinese Grand Prix,LEC,Ferrari,4.27,18,11,8.0,330.0
2,Chinese Grand Prix,LIN,Racing Bulls,6.33,10,9,,
2,Chinese Grand Prix,NOR,McLaren,5.64,11,11,10.0,328.0
2,Chinese Grand Prix,OCO,Haas F1 Team,7.45,18,11,5.0,333.0
2,Chinese Grand Prix,PER,Cadillac,8.3,19,10,,
2,Chinese Grand Prix,PIA,McLaren,5.36,14,11,8.0,330.0
2,Chinese Grand Prix,RUS,Mercedes,3.4,13,10,5.0,333.0
2,Chinese Grand Prix,SAI,Williams,8.91,20,11,,
